"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2015","Spain","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Spain","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","Spain","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Spain","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","54",""
"2015","Spain","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","2",""
"2015","France","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","France","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","France","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","France","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","57",""
"2015","France","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Croatia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","18",""
"2015","Croatia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","21",""
"2015","Croatia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Croatia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","51",""
"2015","Croatia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Italy","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","21",""
"2015","Italy","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","Italy","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","19",""
"2015","Italy","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","43",""
"2015","Italy","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","2",""
"2015","Cyprus","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","Cyprus","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Cyprus","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","15",""
"2015","Cyprus","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","43",""
"2015","Cyprus","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Latvia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","29",""
"2015","Latvia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","Latvia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2015","Latvia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","49",""
"2015","Latvia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Lithuania","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Lithuania","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","21",""
"2015","Lithuania","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Lithuania","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","51",""
"2015","Lithuania","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Luxembourg","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","11",""
"2015","Luxembourg","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Luxembourg","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","56",""
"2015","Luxembourg","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","86",""
"2015","Luxembourg","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Hungary","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Hungary","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Hungary","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","22",""
"2015","Hungary","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","50",""
"2015","Hungary","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Malta","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Malta","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","18",""
"2015","Malta","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","35",""
"2015","Malta","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","53",""
"2015","Malta","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Netherlands","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Netherlands","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Netherlands","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","43",""
"2015","Netherlands","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","72",""
"2015","Netherlands","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Austria","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","19",""
"2015","Austria","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2015","Austria","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","33",""
"2015","Austria","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","64",""
"2015","Austria","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Poland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Poland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","25",""
"2015","Poland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","15",""
"2015","Poland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","40",""
"2015","Poland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Portugal","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Portugal","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Portugal","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2015","Portugal","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","48",""
"2015","Portugal","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Romania","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","29",""
"2015","Romania","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","17",""
"2015","Romania","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","9",""
"2015","Romania","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2015","Romania","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Slovenia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","21",""
"2015","Slovenia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","25",""
"2015","Slovenia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2015","Slovenia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","51",""
"2015","Slovenia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Slovakia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","Slovakia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Slovakia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2015","Slovakia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","53",""
"2015","Slovakia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Finland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","18",""
"2015","Finland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","33",""
"2015","Finland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","41",""
"2015","Finland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","74",""
"2015","Finland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Sweden","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","17",""
"2015","Sweden","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","36",""
"2015","Sweden","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","35",""
"2015","Sweden","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","72",""
"2015","Sweden","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","2",""
"2015","Iceland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Iceland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Iceland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Iceland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Iceland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Norway","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","17",""
"2015","Norway","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","30",""
"2015","Norway","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","49",""
"2015","Norway","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","80",""
"2015","Norway","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Switzerland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Switzerland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Switzerland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Switzerland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Switzerland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","United Kingdom","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","24",""
"2015","United Kingdom","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","United Kingdom","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","40",""
"2015","United Kingdom","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","67",""
"2015","United Kingdom","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Montenegro","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Montenegro","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Montenegro","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Montenegro","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Montenegro","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","North Macedonia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","33",""
"2015","North Macedonia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","North Macedonia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","14",""
"2015","North Macedonia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","37",""
"2015","North Macedonia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Albania","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Albania","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Albania","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Albania","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Albania","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Serbia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","33",""
"2015","Serbia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","20",""
"2015","Serbia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","12",""
"2015","Serbia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","32",""
"2015","Serbia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2015","Turkey","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","27",""
"2015","Turkey","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","12",""
"2015","Turkey","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","12",""
"2015","Turkey","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","23",""
"2015","Turkey","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2015","Bosnia and Herzegovina","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Bosnia and Herzegovina","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Bosnia and Herzegovina","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Bosnia and Herzegovina","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Bosnia and Herzegovina","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals",":",""
"2016","European Union - 27 countries (from 2020)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","European Union - 27 countries (from 2020)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2016","European Union - 27 countries (from 2020)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2016","European Union - 27 countries (from 2020)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","54",""
"2016","European Union - 27 countries (from 2020)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","European Union - 28 countries (2013-2020)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","European Union - 28 countries (2013-2020)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2016","European Union - 28 countries (2013-2020)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2016","European Union - 28 countries (2013-2020)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","56",""
"2016","European Union - 28 countries (2013-2020)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","European Union - 27 countries (2007-2013)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","European Union - 27 countries (2007-2013)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","27",""
"2016","European Union - 27 countries (2007-2013)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2016","European Union - 27 countries (2007-2013)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","56",""
"2016","European Union - 27 countries (2007-2013)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","European Union - 15 countries (1995-2004)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","24",""
"2016","European Union - 15 countries (1995-2004)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2016","European Union - 15 countries (1995-2004)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","32",""
"2016","European Union - 15 countries (1995-2004)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","60",""
"2016","European Union - 15 countries (1995-2004)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","24",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","57",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Belgium","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","Belgium","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","29",""
"2016","Belgium","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","32",""
"2016","Belgium","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","61",""
"2016","Belgium","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2016","Bulgaria","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","33",""
"2016","Bulgaria","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","16",""
"2016","Bulgaria","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","10",""
"2016","Bulgaria","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2016","Bulgaria","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Czechia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","28",""
"2016","Czechia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","33",""
"2016","Czechia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","20",""
"2016","Czechia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","54",""
"2016","Czechia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Denmark","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","19",""
"2016","Denmark","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","Denmark","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","53",""
"2016","Denmark","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","78",""
"2016","Denmark","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Germany (until 1990 former territory of the FRG)","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","22",""
"2016","Germany (until 1990 former territory of the FRG)","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","34",""
"2016","Germany (until 1990 former territory of the FRG)","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","33",""
"2016","Germany (until 1990 former territory of the FRG)","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","68",""
"2016","Germany (until 1990 former territory of the FRG)","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","0","n"
"2016","Estonia","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","26",""
"2016","Estonia","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2016","Estonia","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","35",""
"2016","Estonia","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","60",""
"2016","Estonia","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Ireland","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","37",""
"2016","Ireland","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","19",""
"2016","Ireland","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","Ireland","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","44",""
"2016","Ireland","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Greece","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","23",""
"2016","Greece","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","26",""
"2016","Greece","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","19",""
"2016","Greece","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","46",""
"2016","Greece","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","1",""
"2016","Spain","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","25",""
"2016","Spain","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","23",""
"2016","Spain","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","31",""
"2016","Spain","Individuals who have basic or above basic overall digital skills","All Individuals","Percentage of individuals","53",""
"2016","Spain","Individuals who have no overall digital skills","All Individuals","Percentage of individuals","2",""
"2016","France","Individuals who have low overall digital skills","All Individuals","Percentage of individuals","29",""
"2016","France","Individuals who have basic overall digital skills","All Individuals","Percentage of individuals","28",""
"2016","France","Individuals who have above basic overall digital skills","All Individuals","Percentage of individuals","28",""
